,Clasificacion,Producto,Precio Actual,Precio Anterior,Forma de pago
0,celulares-y-telefonia-li,iPhone 11 64GB Negro Reacondicionado,"$5,895MXN","$8,499",$466 mensuales con  Crédito 
1,celulares-y-telefonia-li,Redmi Note 12S 256GB 8GB Ram Azul Hielo,"$3,339MXN","$7,599",$264 mensuales con  Crédito 
2,celulares-y-telefonia-li,Celular POCO C65 256GB 8GB Black,"$2,499MXN","$2,899",$198 mensuales con  Crédito 
3,celulares-y-telefonia-li,Celular Reacondicionado Grado A Apple Iphone 13 De 128gb Rosa,"$11,999MXN","$13,999",$947 mensuales con  Crédito 
4,celulares-y-telefonia-li,Motorola Edge Plus 256 Gb/12Gb Ram - Thunder Gray,"$7,769MXN","$7,899",$614 mensuales con  Crédito 
5,celulares-y-telefonia-li,Apple iPhone 15 Pro Max 256 GB Titanium Azul Desbloqueado ,"$28,999MXN",0,$2289 mensuales con  Crédito 
6,celulares-y-telefonia-li,iPhone 14 Pro Max 128GB Morado E-SIM Reacondicionado Grado A + Audífono Genérico,"$27,999MXN","$31,999",$2210 mensuales con  Crédito 
7,celulares-y-telefonia-li,Celular POCO F5 Blue 12GB RAM 256GB ROM,"$6,719MXN","$8,499",$531 mensuales con  Crédito 
8,celulares-y-telefonia-li,Celular Motorola Edge 40 5G 256GB Azul Telcel R9,"$9,999MXN",0,$790 mensuales con  Crédito 
9,celulares-y-telefonia-li,iPhone 15 128GB Rosa Telcel R5,"$19,499MXN",0,$1539 mensuales con  Crédito 
10,celulares-y-telefonia-li,Celular Reacondicionado Grado A Samsung Galaxy S20 Ultra 5G 128GB 12GB RAM  108 MPX  Negro,"$8,468MXN","$8,999",$669 mensuales con  Crédito 
11,celulares-y-telefonia-li,Honor Magic5 Lite 256GB 8GB Plata,"$5,699MXN","$8,999",$450 mensuales con  Crédito 
12,celulares-y-telefonia-li,Combo 2 Moto G23 128GB 8GB Ram   2 Smartwatches,"$7,433MXN","$8,289",$587 mensuales con  Crédito 
